País,Población,Densidad,Superficie,PBI,Continente
China,1413142846,147.2,9596960,17963170,Asia
India,1399179585,425.6,3287263,3465541,Asia
Estados Unidos,339665118,34.5,9833517,25744100,América del Norte
Indonesia,279476346,146.7,1904569,1319100,Asia
Pakistán,247653551,311.1,796095,326796,Asia
Nigeria,230842743,249.9,923768,15414,África
Brasil,218689757,25.7,8515770,1920095,América del Sur
Bangladésh,167184465,1126.1,148460,432677,Asia
Rusia,141698923,8.3,17098242,2240422,Europa
México,129875529,66.1,1964375,1463323,América del Norte
Japón,123719238,327.4,377915,4232173,Asia
Etiopía,116462712,105.5,1104300,118971,África
Filipinas,116434200,388.1,300000,404284,Asia
Republica Democratica del Congo,111859928,47.7,2344858,62551,África
Egipto,109546720,109.4,1001450,409306,África
Vietnam,104799174,316.4,331210,408802,Asia
Irán,87590873,53.1,1648195,398047,Asia
Alemania,84220184,235.9,357022,4076923,Europa
Turquía,83593483,106.7,783562,907118,Asia
Thailand,69794997,136,513120,495340,Asia
Francia,68521974,106.4,643801,2775316,Europa
Reino Unido,68138484,279.7,243610,3089072,Europa
Tanzania,65642682,69.3,947300,2361,África
Italia,61021855,202.5,301340,2046952,Europa
Sudáfrica,58048332,47.6,1219090,405270,África
Myanmar,57970293,85.7,676578,65211,Asia
Kenya,57052004,98.3,580367,113419,África
Corea del Sur,51966948,521.1,99720,1673916,Asia
Colombia,49336454,43.3,1138910,343939,América del Sur
Sudan,49197555,26.4,1861484,36729,África
Uganda,47729952,198,241038,48243,África
España,47222613,93.4,505370,1415874,Europa
Argentina,46621847,16.8,2780400,631133,América del Sur
Algeria,44758398,18.8,2381740,191912,África
Ukraine,43306477,71.8,603550,160502,Europa
Iraq,41266109,94.1,438317,264182,Asia
Afghanistan,39232003,60.2,652230,14174,Asia
Canadá,38516736,3.9,9984670,2137939,América del Norte
Poland,37991766,121.5,312685,688125,Europa
Morocco,37067420,51.7,716550,130912,África
Angola,35981281,28.9,1246700,113304,África
Arabia Saudita,35939806,16.7,2149690,1108148,Asia
Malaysia,34219975,103.7,329847,406305,Asia
Ghana,33846114,141.9,238533,73766,África
Mozambique,32513805,40.7,799380,18406,África
Peru,32440172,25.2,1285216,242631,América del Sur
Yemen,31565602,59.8,527968,11007,Asia
Uzbekistan,31360836,70.1,447400,80391,Asia
Nepal,30899443,209.9,147181,39406,Asia
Venezuela,30518260,33.5,912050,129313,América del Sur
Cameroon,30135732,63.4,475440,44341,África
Ivory Coast,29344847,91,322463,70018,África
Madagascar,28812195,49.1,587041,14954,África
Australia,26461166,3.4,7741220,1776577,Oceanía
North Korea,26072217,216.3,120538,15176,Asia
Taiwan,23588613,655.6,35980,775017,Asia
Sri Lanka,23326272,355.5,65610,76187,Asia
Syria,22933531,122.4,187437,18595,Asia
Burkina Faso,22489126,82,274200,19176,África
Mali,21359722,17.2,1240192,18827,África
Malawi,21279597,179.6,118484,12558,África
Zambia,20216029,26.9,752618,29136,África
Kazakhstan,19543464,7.2,2724900,225496,Asia
Chile,18549457,24.5,756102,300686,América del Sur
Chad,18523165,14.4,1284000,16799,África
Senegal,18384660,93.5,196722,27775,África
Romania,18326327,76.9,238391,300690,Europa
Guatemala,17980803,165.1,108889,95003,América del Norte
Ecuador,17483326,61.7,283561,115049,América del Sur
Netherlands,17463930,420.4,41543,1572,Europa
Cambodia,16891245,93.3,181035,29504,Asia
Zimbabwe,15418674,39.5,390757,26418,África
Benin,14219908,126.3,112622,17396,África
Guinea,13607249,55.3,245857,20846,África
Rwanda,13400541,508.8,26338,13312,África
Burundi,13162952,473,27830,4032,África
Somalia,12693796,19.9,637657,10420,África
Bolivia,12186079,11.1,1098581,44008,América del Sur
South Sudan,12118379,18.8,644329,4616,África
Tunisia,11976182,73.2,163610,46181,África
Belgium,11913633,390.3,30528,582643,Europa
Haiti,11470261,413.3,27750,18751,América del Norte
Jordan,11086716,124.1,89342,47452,Asia
Cuba,10985974,99.1,110860,147193,América del Norte
Dominican Republic,10790744,221.7,48670,113537,América del Norte
Czech Republic,10706242,135.8,78867,290527,Europa
Sweden,10536338,23.4,450295,591188,Europa
Greece,10497595,79.6,131957,217285,Europa
Azerbaijan,10420515,120.3,86600,78721,Asia
Portugal,10223150,111,92090,254849,Europa
United Arab Emirates,9973449,119.3,83600,507063,Asia
Papua New Guinea,9819350,21.2,462840,31609,Oceanía
Hungary,9670009,103.9,93028,177337,Europa
Honduras,9571352,85.4,112090,31717,América del Norte
Belarus,9383853,45.2,207600,72873,Europa
Tajikistan,9245937,64.2,144100,10492,Asia
Israel,9043387,412.2,21937,525002,Asia
Austria,8940860,106.6,83871,470302,Europa
Sierra Leone,8908040,124.2,71740,3481,África
Togo,8703961,153.3,56785,8087,África
Switzerland,8563760,207.5,41277,818426,Europa
Laos,7852377,33.2,236800,15362,Asia
Paraguay,7439863,18.3,406752,41722,América del Sur
Hong Kong,7288167,6577.8,1108,359838,Asia
Libya,7252573,4.1,1759540,40537,África
Bulgaria,6827736,61.6,110879,90213,Europa
Serbia,6693375,86.4,77474,9397,Europa
El Salvador,6602370,313.8,21041,32488,América del Norte
Nicaragua,6359689,48.8,130370,15671,América del Norte
Eritrea,6274796,53.4,117600,2383,África
Kyrgyzstan,6122781,30.6,199951,12560,Asia
Singapore,5975383,8310.7,719,466788,Asia
Denmark,5946984,138,43094,400167,Europa
Turkmenistan,5690818,11.7,488100,67009,Asia
Republic of the Congo,5677493,16.6,342000,15344,África
Finland,5614571,16.6,338145,282511,Europa
Norway,5597924,17.3,323802,579422,Europa
Liberia,5506280,49.4,111369,3265,África
Slovakia,5425319,110.6,49035,115304,Europa
Lebanon,5331203,512.6,10400,39303,Asia
Ireland,5323991,75.8,70273,532415,Europa
Costa Rica,5256612,102.9,51100,68380,América del Norte
New Zealand,5109702,19,268838,245845,Oceanía
Georgia,4927228,70.7,69700,24605,Asia
Panama,4404108,58.4,75420,76522,América del Norte
Mauritania,4244878,4.1,1030700,10997,África
Croatia,4169239,73.7,56594,71552,Europa
Oman,3833465,12.4,309500,114666,Asia
Bosnia y Herzegovina,3807764,74.4,51197,24473,Europa
Uruguay,3416264,19.4,176215,71171,América del Sur
Mongolia,3255468,2.1,1564116,17146,Asia
Moldova,3250532,96,33851,14510,Europa
Kuwait,3103580,174.2,17818,175363,Asia
Albania,3101621,107.9,28748,18916,Europa
Puerto Rico,3057311,335.8,9104,113434,América del Norte
Armenia,2989091,100.5,29743,19513,Asia
Jamaica,2820982,256.7,10991,17097,América del Norte
Namibia,2777232,3.4,824292,12607,África
Lithuania,2655755,40.7,65300,70878,Europa
Qatar,2532104,218.5,11586,237101,Asia
The Gambia,2468569,218.5,11300,2231,África
Botswana,2417596,4.2,581730,20352,África
Gabon,2397368,9,267667,20132,África
Lesotho,2210646,72.8,30355,2287,África
Slovenia,2099790,103.6,20273,59981,Europa
Latvia,1821750,28.2,64589,40876,Europa
Equatorial Guinea,1737695,61.9,28051,11767,África
Bahrain,1553886,2044.6,760,44382,Asia
Trinidad y Tobago,1407460,274.5,5128,30053,América del Norte
Mauritius,1309448,641.9,2040,12898,Seven seas (open ocean)
Cyprus,1308120,141.4,9251,29210,Asia
Estonia,1202762,26.6,45228,38049,Europa
Eswatini,1130043,65.1,17364,4326,África
Djibouti,976143,42.1,23200,4003,África
Fiji,947760,51.9,18274,4979,Oceanía
Comoros,888378,397.5,2235,1246,África
Bhutan,876181,22.8,38394,2898,Asia
Guyana,791739,3.7,214969,14718,América del Sur
Solomon Islands,714766,24.7,28896,1597,Oceanía
Luxembourg,660924,255.6,2586,81530,Europa
Macau,639971,22856.1,28,24042,Asia
Suriname,639759,3.9,163820,3620,América del Sur
Cape Verde,603901,149.7,4033,2314,África
Montenegro,602445,43.6,13812,6229,Europa
Maldives,521021,1748.4,298,6170,Seven seas (open ocean)
Brunei,484991,84.1,5765,16681,Asia
Malta,467138,1478.3,316,18100,Europa
Belize,419137,18.3,22966,2830,América del Norte
Guadeloupe,378561,232.5,1628,9462,América del Norte
Iceland,360872,3.5,103000,28064,Europa
The Bahamas,358508,25.8,13880,12897,América del Norte
Vanuatu,313046,25.7,12189,985,Oceanía
Barbados,303431,705.7,430,5699,América del Norte
French Polynesia,301488,72.4,4167,5814,Oceanía
New Caledonia,300682,16.2,18575,9623,Oceanía
Samoa,207501,73.3,2831,857,Oceanía
Saint Lucia,167591,272.1,616,2165,América del Norte
Aruba,123702,687.2,180,3544,América del Norte
Kiribati,115372,142.3,811,223,Oceanía
Grenada,114299,332.3,344,1192,América del Norte
Tonga,105221,140.9,747,488,Oceanía
Antigua y Barbuda,101489,229.1,443,1770,América del Norte
Seychelles,97617,214.5,455,1994,Seven seas (open ocean)
Andorra,85468,182.6,468,3376,Europa
Marshall Islands,80966,447.3,181,279,Oceanía
Dominica,74656,99.4,751,612,América del Norte
Bermuda,72576,1344,54,7546,América del Norte
Cayman Islands,65483,248,264,6281,América del Norte
Greenland,57777,0,2166086,2926,América del Norte
American Samoa,44620,199.2,224,709,Oceanía
Liechtenstein,39993,250,160,7757,Europa
San Marino,34892,572,61,1780,Europa
Monaco,31597,15798.5,2,8772,Europa
Palau,21779,47.4,459,225,Oceanía
Tuvalu,11639,447.7,26,59,Oceanía
Nauru,9852,469.1,21,147,Oceanía
